canonical_smiles,pchembl_value
BrC[C@H]1CC[C@H](c2nnn3cnc4[nH]ccc4c23)CC1,8.52
Brc1cc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)sc1Br,7.15
Brc1ccc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)cc1,8.21
Brc1ccc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)o1,8.55
Brc1ccc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)s1,8.34
Brc1cnc2[nH]cc(-c3ccccc3)c2c1,6.2
Brc1csc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)c1,8.0
Brc1ncc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)s1,8.64
C#CCCOC(=O)N1CC[C@@H](n2cc(C(N)=O)c(Nc3ccc(F)cc3)n2)[C@H](C#N)C1,6.81
C#CCCOC(=O)N1CC[C@H](n2cc(C(N)=O)c(Nc3ccc(F)cc3)n2)[C@H](C#N)C1,5.86
C#CCN(C1CCOC1)[C@@H]1CCN(c2ncnc3[nH]ccc23)C1,9.26
C#CCN(c1c(F)cc(C#N)cc1F)[C@@H]1CCN(c2ncnc3[nH]ccc23)C1,10.26
C#CCN(c1ccc(C#N)cc1)[C@@H]1CCN(c2ncnc3[nH]ccc23)C1,10.26
C#CCN(c1ccc(C#N)cc1F)[C@@H]1CCN(c2ncnc3[nH]ccc23)C1,9.26
C#CCN(c1ccc(C#N)cn1)[C@@H]1CCN(c2ncnc3[nH]ccc23)C1,10.26
C#CCN(c1ccc(S(C)(=O)=O)cn1)[C@@H]1CCN(c2ncnc3[nH]ccc23)C1,9.26
C#CCNC[C@H]1CC[C@H](c2nnn3cnc4[nH]ccc4c23)CC1,7.36
C#CCSc1nsc(SCC#C)c1C#N,5.55
C#Cc1cc2c(cc1OC)-c1[nH]nc(-c3ccc(C#N)nc3)c1C2,6.2
C#Cc1ccc(-c2nc(-c3ccc(F)cc3)c(-c3cc[nH]c(=O)c3)[nH]2)cc1,4.84
C#Cc1ccc(N(C)[C@@H]2CCN(c3ncnc4[nH]ccc34)C2)nc1,10.26
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,5.415
C(=C/c1ccco1)\CN1CCC(c2nnn3cnc4[nH]ccc4c23)CC1,6.6
C/C(=C\c1ccc(N(C)C)cc1)[N+](=O)[O-],5.46
C/C=C/C(=O)N1CCC(CC#N)(n2cc(C(N)=O)c(Nc3ccccc3)n2)CC1,7.19
C/C=C/C(=O)Nc1cccc(-c2ncnc3[nH]cc(C(=O)OCC)c23)c1,6.32
C1=C/CN(C2CC2)Cc2cccc(c2)Nc2nccc(n2)-c2cccc(c2)OCC/1,7.05
C1=C/CN(CC2CC2)Cc2cccc(c2)Nc2nccc(n2)-c2cccc(c2)OCC/1,5.82
C1=C/CN(Cc2ccccn2)Cc2cccc(c2)Nc2nccc(n2)-c2cccc(c2)OCC/1,5.87
C1=C/CNCc2cccc(c2)Nc2nccc(n2)-c2cccc(c2)OCC/1,6.82
C1=C/CNc2cccc(c2)Nc2nccc(n2)-c2cccc(c2)OCC/1,5.48
C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2cc(co2)COC/1,6.96
C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2ccc(o2)COC/1,7.34
C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2ccc(s2)COC/1,8.14
C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2cccc(c2)COC/1,9.0
C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2ccnc(c2)OCC/1,7.75
C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2cncc(c2)COC/1,6.54
C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2coc(c2)COC/1,7.17
C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2csc(c2)COC/1,7.77
C1=C/COCc2ccc(o2)-c2ccnc(n2)Nc2cccc(c2)COC/1,6.66
C1=C/COCc2cncc(c2)-c2ccnc(n2)Nc2cccc(c2)COC/1,6.03
C1=C/COc2ccc(o2)-c2ccnc(n2)Nc2ccc(OCCN3CCCC3)c(c2)COC/1,7.34
